pos100	p30	p10	mn
4606100	0	0	0
4606200	0	0	0
4606300	0	0	0
4606400	0	0	0
4606500	0	0	0
4606600	0	0	0
4606700	0	0	0
4606800	0	0	0
4606900	0	0	0
4607000	0	0	0
4607100	0	0	0
4607200	0	0	0
4607300	0	0	0
4607400	0	0	0
4607500	0	0	0
4607600	0	0	0
4607700	0	0	0
4607800	0	0	0
4607900	0	0	0
4608000	0	0	0
4608100	0	0	0
4608200	0	0	0
4608300	0	0	0
4608400	0	0	0
4608500	0	0	0
4608600	0	0	0
4608700	0	0	0
4608800	0	0	0
4608900	0	0	0
4609000	0	0	0
4609100	0	0	0
4609200	0	0	0
4609300	0	0	0
4609400	0	0	0
4609500	0	0	0
4609600	0	0	0
4609700	0	0	0
4609800	0	0	0
4609900	0	0	0
4610000	0	0	0
4610100	0	0	0
4610200	0	0	0
4610300	0	0	0
4610400	0	0	0
4610500	0	0	0
4610600	0	0	0
4610700	0	0	0
4610800	0	0	0
4610900	0	0	0
4611000	0	0	0
4611100	0	0	0
4611200	0	0	0
4611300	0	0	0
4611400	0	0	0
4611500	0	0	0
4611600	0	0	0
4611700	0	0	0
4611800	0	0	0
4611900	0	0	0.25
4612000	0	0	1
4612100	0	0	0.12
4612200	0	0	0.3
4612300	0	0	0
4612400	0	0	0
4612500	0	0	0
4612600	0	0	0
4612700	0	0	0.21
4612800	0	0	1.53
4612900	0	0	1.08
4613000	0	0	0.02
4613100	0	0	0.33
4613200	0	0	0
4613300	0	0	0
4613400	0	0	0
4613500	0	0	0
4613600	0	0	0
4613700	0	0	0
4613800	0	0	0
4613900	0	0	0
4614000	0	0	0
4614100	0	0	0
4614200	0	0	0
4614300	0	0	0.32
4614400	0	0	0.72
4614500	0	0	0.74
4614600	0	0	0
4614700	0	0	0
4614800	0	0	0
4614900	0	0	0
4615000	0	0	0
4615100	0	0	0
4615200	0	0	0
4615300	0	0	0
4615400	0	0	0
4615500	0	0	0
4615600	0	0	0
4615700	0	0	0
4615800	0	0	0
4615900	0	0	0
4616000	0	0	0
4616100	0	0	0
4616200	0	0	0
4616300	0	0	0
4616400	0	0	0
4616500	0	0	0
4616600	0	0	0
4616700	0	0	0
4616800	0	0	0
4616900	0	0	0
4617000	0	0	0
4617100	0	0	0
4617200	0	0	0
4617300	0	0	0
4617400	0	0	0
4617500	0	0	0
4617600	0	0	0
4617700	0	0	0
4617800	0	0	0
4617900	0	0	0
4618000	0	0	0
4618100	0	0	0
4618200	0	0	0
4618300	0	0	0
4618400	0	0	0
4618500	0	0	0
4618600	0	0	0
4618700	0	0	0
4618800	0	0	0
4618900	0	0	0
4619000	0	0	0
4619100	0	0	0
4619200	0	0	0
4619300	0	0	0
4619400	0	0	0
4619500	0	0	0
4619600	0	0	0
4619700	0	0	0
4619800	0	0	0
4619900	0	0	0
4620000	0	0	0
4620100	0	0	0
4620200	0	0	0
4620300	0	0	0
4620400	0	0	0
4620500	0	0	0
4620600	0	0	0
4620700	0	0	0
4620800	0	0	0
4620900	0	0	0
4621000	0	0	0
4621100	0	0	0
4621200	0	0	0
4621300	0	0	0
4621400	0	0	0
4621500	0	0	0
4621600	0	0	0
4621700	0	0	0
4621800	0	0	0
4621900	0	0	0
4622000	0	0	0
4622100	0	0	0
4622200	0	0	0
4622300	0	0	0
4622400	0	0	0
4622500	0	0	0
4622600	0	0	0
4622700	0	0	0
4622800	0	0	0
4622900	0	0	0
4623000	0	0	0
4623100	0	0	0
4623200	0	0	0
4623300	0	0	0
4623400	0	0	0
4623500	0	0	0
4623600	0	0	0
4623700	0	0	0
4623800	0	0	0
4623900	0	0	0
4624000	0	0	0
4624100	0	0	0
4624200	0	0	0
4624300	0	0	0
4624400	0	0	0
4624500	0	0	0
4624600	0	0	0
4624700	0	0	0
4624800	0	0	0
4624900	0	0	0
4625000	0	0	0
4625100	0	0	0
4625200	0	0	0
4625300	0	0	0
4625400	0	0	0
4625500	0	0	0
4625600	0	0	0
4625700	0	0	0
4625800	0	0	0
4625900	0	0	0
4626000	0	0	0
4626100	0	0	0
4626200	0	0	0
4626300	0	0	0
4626400	0	0	0
4626500	0	0	0
4626600	0	0	0
4626700	0	0	0
4626800	0	0	0
4626900	0	0	0
4627000	0	0	0
4627100	0	0	0
4627200	0	0	0
4627300	0	0	0
4627400	0	0	0
4627500	0	0	0
4627600	0	0	0
4627700	0	0	0
4627800	0	0	0
4627900	0	0	0.26
4628000	0	0	1
4628100	0	0	0.58
4628200	0	0	0
4628300	0	0	0
4628400	0	0	0
4628500	0	0	0
4628600	0	0	0
4628700	0	0	0
4628800	0	0	0
4628900	0	0	0
4629000	0	0	0
4629100	0	0	0
4629200	0	0	0
4629300	0	0	0
4629400	0	0	0
4629500	0	0	0
4629600	0	0	0
4629700	0	0	0
4629800	0	0	0
4629900	0	0	0
4630000	0	0	0
4630100	0	0	0
4630200	0	0	0
4630300	0	0	0
4630400	0	0	0
4630500	0	0	0
4630600	0	0	0
4630700	0	0	0
4630800	0	0	0
4630900	0	0	0
4631000	0	0	0.03
4631100	0	0	1.26
4631200	0	0	1.2
4631300	0	0	0.2
4631400	0	0	0
4631500	0	0	0
4631600	0	0	0
4631700	0	0	0
4631800	0	0	0
4631900	0	0	0
4632000	0	0	0
4632100	0	0	0
4632200	0	0	0
4632300	0	0	0
4632400	0	0	0
4632500	0	0	0
4632600	0	0	0
4632700	0	0	0
4632800	0	0	0
4632900	0	0	0
4633000	0	0	0
4633100	0	0	0
4633200	0	0	0
4633300	0	0	0
4633400	0	0	0
4633500	0	0	0
4633600	0	0	0
4633700	0	0	0
4633800	0	0	0
4633900	0	0	0
4634000	0	0	0
4634100	0	0	0
4634200	0	0	0
4634300	0	0	0
4634400	0	0	0
4634500	0	0	0
4634600	0	0	0
4634700	0	0	0
4634800	0	0	0
4634900	0	0	0
4635000	0	0	0
4635100	0	0	0
4635200	0	0	0
4635300	0	0	0
4635400	0	0	0
4635500	0	0	0
4635600	0	0	0
4635700	0	0	0
4635800	0	0	0
4635900	0	0	0
4636000	0	0	0
4636100	0	0	0
4636200	0	0	0
4636300	0	0	0
4636400	0	0	0
4636500	0	0	0
4636600	0	0	0
4636700	0	0	0
4636800	0	0	0
4636900	0	0	0
4637000	0	0	0
4637100	0	0	0
4637200	0	0	0
4637300	0	0	0
4637400	0	0	0
4637500	0	0	0
4637600	0	0	0
4637700	0	0	0
4637800	0	0	0
4637900	0	0	0
4638000	0	0	0
4638100	0	0	0
4638200	0	0	0
4638300	0	0	0
4638400	0	0	0
4638500	0	0	0
4638600	0	0	0
4638700	0	0	0
4638800	0	0	0
4638900	0	0	0
4639000	0	0	0
4639100	0	0	0
4639200	0	0	0
4639300	0	0	0
4639400	0	0	0
4639500	0	0	0
4639600	0	0	0
4639700	0	0	0
4639800	0	0	0
4639900	0	0	0
4640000	0	0	0
4640100	0	0	0
4640200	0	0	0
4640300	0	0	0
4640400	0	0	0
4640500	0	0	0
4640600	0	0	0
4640700	0	0	0
4640800	0	0	0
4640900	0	0	0
4641000	0	0	0
4641100	0	0	0
4641200	0	0	0
4641300	0	0	0
4641400	0	0	0
4641500	0	0	0
4641600	0	0	0
4641700	0	0	0
4641800	0	0	0
4641900	0	0	0
4642000	0	0	0
4642100	0	0	0
4642200	0	0	0
4642300	0	0	0
4642400	0	0	0
4642500	0	0	0
4642600	0	0	0
4642700	0	0	0
4642800	0	0	0
4642900	0	0	0
4643000	0	0	0
4643100	0	0	0
4643200	0	0	0
4643300	0	0	0
4643400	0	0	0
4643500	0	0	0
4643600	0	0	0
4643700	0	0	0
4643800	0	0	0
4643900	0	0	0
4644000	0	0	0
4644100	0	0	0
4644200	0	0	0
4644300	0	0	0
4644400	0	0	0
4644500	0	0	0
4644600	0	0	0
4644700	0	0	0
4644800	0	0	0
4644900	0	0	0
4645000	0	0	0
4645100	0	0	0
4645200	0	0	0
4645300	0	0	0
4645400	0	0	0
4645500	0	0	0
4645600	0	0	0
4645700	0	0	0
4645800	0	0	0
4645900	0	0	0
4646000	0	0	0
4646100	0	0	0
4646200	0	0	0
4646300	0	0	0
4646400	0	0	0
4646500	0	0	0
4646600	0	0	0
4646700	0	0	0
4646800	0	0	0
4646900	0	0	0
4647000	0	0	0
4647100	0	0	0
4647200	0	0	0
4647300	0	0	0
4647400	0	0	0
4647500	0	0	0
4647600	0	0	0
4647700	0	0	0
4647800	0	0	0
4647900	0	0	0
4648000	0	0	0
4648100	0	0	0
4648200	0	0	0
4648300	0	0	0
4648400	0	0	0
4648500	0	0	0
4648600	0	0	0
4648700	0	0	0
4648800	0	0	0
4648900	0	0	0
4649000	0	0	0
4649100	0	0	0
4649200	0	0	0
4649300	0	0	0
4649400	0	0	0
4649500	0	0	0
4649600	0	0	0
4649700	0	0	0
4649800	0	0	0
4649900	0	0	0
4650000	0	0	0
4650100	0	0	0
4650200	0	0	0
4650300	0	0	0
4650400	0	0	0
4650500	0	0	0
4650600	0	0	0
4650700	0	0	0
4650800	0	0	0
4650900	0	0	0.47
4651000	0	0	1
4651100	0	0	0.22
4651200	0	0	0
4651300	0	0	0
4651400	0	0	0
4651500	0	0	0
4651600	0	0	0
4651700	0	0	0
4651800	0	0	0
4651900	0	0	0
4652000	0	0	0
4652100	0	0	0
4652200	0	0	0
4652300	0	0	0
4652400	0	0	0
4652500	0	0	0
4652600	0	0	0
4652700	0	0	0
4652800	0	0	0
4652900	0	0	0
4653000	0	0	0
4653100	0	0	0
4653200	0	0	0
4653300	0	0	0
4653400	0	0	0
4653500	0	0	0
4653600	0	0	0
4653700	0	0	0
4653800	0	0	0
4653900	0	0	0
4654000	0	0	0
4654100	0	0	0
4654200	0	0	0
4654300	0	0	0
4654400	0	0	0
4654500	0	0	0
4654600	0	0	0
4654700	0	0	0
4654800	0	0	0
4654900	0	0	0
4655000	0	0	0
4655100	0	0	0
4655200	0	0	0
4655300	0	0	0
4655400	0	0	0
4655500	0	0	0
4655600	0	0	0
4655700	0	0	0
4655800	0	0	0.51
4655900	0	0	0
4656000	0	0	0
4656100	0	0	0
4656200	0	0	0
4656300	0	0	0
4656400	0	0	0
4656500	0	0	0
4656600	0	0	0
4656700	0	0	0
4656800	0	0	0
4656900	0	0	1
4657000	0	0	0.46
4657100	0	0	0
4657200	0	0	0
4657300	0	0	0
4657400	0	0	0
4657500	0	0	0
4657600	0	0	0
4657700	0	0	0
4657800	0	0	0
4657900	0	0	0
4658000	0	0	0
4658100	0	0	0
4658200	0	0	0
4658300	0	0	0
4658400	0	0	0
4658500	0	0	0
4658600	0	0	0
4658700	0	0	0
4658800	0	0	0
4658900	0	0	0
4659000	0	0	0.66
4659100	0	0	0.8
4659200	0	0	0
4659300	0	0	0
4659400	0	0	0
4659500	0	0	0
4659600	0	0	0
4659700	0	0	0
4659800	0	0	0
4659900	0	0	0
4660000	0	0	0
4660100	0	0	0
4660200	0	0	0
4660300	0	0	0
4660400	0	0	0
4660500	0	0	0
4660600	0	0	0
4660700	0	0	0
4660800	0	0	0
4660900	0	0	0
4661000	0	0	0
4661100	0	0	0
4661200	0	0	0
4661300	0	0	0
4661400	0	0	0
4661500	0	0	0
4661600	0	0	0
4661700	0	0	0
4661800	0	0	0
4661900	0	0	0
4662000	0	0	0
4662100	0	0	0
4662200	0	0	0
4662300	0	0	0
4662400	0	0	0
4662500	0	0	0
4662600	0	0	0
4662700	0	0	0
4662800	0	0	0
4662900	0	0	0
4663000	0	0	0
4663100	0	0	0
4663200	0	0	0
4663300	0	0	0
4663400	0	0	0
4663500	0	0	0
4663600	0	0	0
4663700	0	0	0
4663800	0	0	0
4663900	0	0	0
4664000	0	0	0
4664100	0	0	0
4664200	0	0	0
4664300	0	0	0
4664400	0	0	0
4664500	0	0	0
4664600	0	0	0
4664700	0	0	0
4664800	0	0	0
4664900	0	0	0
4665000	0	0	0
4665100	0	0	0
4665200	0	0	0
4665300	0	0	0
4665400	0	0	0
4665500	0	0	0
4665600	0	0	0
4665700	0	0	0
4665800	0	0	0
4665900	0	0	0
4666000	0	0	0
4666100	0	0	0
4666200	0	0	0
4666300	0	0	0
4666400	0	0	0
4666500	0	0	0
4666600	0	0	0
4666700	0	0	0
4666800	0	0	0
4666900	0	0	0
4667000	0	0	0
4667100	0	0	0
4667200	0	0	0
4667300	0	0	0
4667400	0	0	0
4667500	0	0	0
4667600	0	0	0
4667700	0	0	0
4667800	0	0	0
4667900	0	0	0
4668000	0	0	0
4668100	0	0	0
4668200	0	0	0
4668300	0	0	0
4668400	0	0	0
4668500	0	0	0
4668600	0	0	0
4668700	0	0	0
4668800	0	0	0
4668900	0	0	0
4669000	0	0	0
4669100	0	0	0
4669200	0	0	0
4669300	0	0	0.17
4669400	0	0	1
4669500	0	0	0.28
4669600	0	0	0
4669700	0	0	0
4669800	0	0	0
4669900	0	0	0
4670000	0	0	0
4670100	0	0	0
4670200	0	0	0
4670300	0	0	0
4670400	0	0	0
4670500	0	0	0
4670600	0	0	0
4670700	0	0	0
4670800	0	0	0
4670900	0	0	0
4671000	0	0	0
4671100	0	0	0
4671200	0	0	0
4671300	0	0	0
4671400	0	0	0
4671500	0	0	0
4671600	0	0	0
4671700	0	0	0
4671800	0	0	0
4671900	0	0	0
4672000	0	0	0
4672100	0	0	0
4672200	0	0	0
4672300	0	0	0
4672400	0	0	0
4672500	0	0	0
4672600	0	0	0
4672700	0	0	0
4672800	0	0	0
4672900	0	0	0
4673000	0	0	0
4673100	0	0	0
4673200	0	0	0
4673300	0	0	0
4673400	0	0	0
4673500	0	0	0
4673600	0	0	0
4673700	0	0	0
4673800	0	0	0
4673900	0	0	0
4674000	0	0	0
4674100	0	0	0
4674200	0	0	0
4674300	0	0	0
4674400	0	0	0
4674500	0	0	0
4674600	0	0	0
4674700	0	0	0
4674800	0	0	0
4674900	0	0	0
4675000	0	0	0
4675100	0	0	0
4675200	0	0	0
4675300	0	0	0
4675400	0	0	0
4675500	0	0	0
4675600	0	0	0
4675700	0	0	0
4675800	0	0	0
4675900	0	0	0
4676000	0	0	0
4676100	0	0	0
4676200	0	0	0
4676300	0	0	0
4676400	0	0	0
4676500	0	0	0
4676600	0	0	0
4676700	0	0	0
4676800	0	0	0
4676900	0	0	0
4677000	0	0	0
4677100	0	0	0.24
4677200	0	0	1
4677300	0	0	0.22
4677400	0	0	0
4677500	0	0	0
4677600	0	0	0
4677700	0	0	0
4677800	0	0	0
4677900	0	0	0
4678000	0	0	0
4678100	0	0	0
4678200	0	0	0
4678300	0	0	0
4678400	0	0	0
4678500	0	0	0
4678600	0	0	0
4678700	0	0	0
4678800	0	0	0
4678900	0	0	0
4679000	0	0	0
4679100	0	0	0
4679200	0	0	0
4679300	0	0	0
4679400	0	0	0
4679500	0	0	0
4679600	0	0	0
4679700	0	0	0
4679800	0	0	0
4679900	0	0	0
4680000	0	0	0
4680100	0	0	0
4680200	0	0	0
4680300	0	0	0
4680400	0	0	0
4680500	0	0	0
4680600	0	0	0
4680700	0	0	0
4680800	0	0	0
4680900	0	0	0
4681000	0	0	0
4681100	0	0	0
4681200	0	0	0
4681300	0	0	0
4681400	0	0	0
4681500	0	0	0
4681600	0	0	0
4681700	0	0	0
4681800	0	0	0
4681900	0	0	0
4682000	0	0	0
4682100	0	0	0
4682200	0	0	0
4682300	0	0	0
4682400	0	0	0
4682500	0	0	0
4682600	0	0	0
4682700	0	0	0
4682800	0	0	0
4682900	0	0	0
4683000	0	0	0
4683100	0	0	0
4683200	0	0	0
4683300	0	0	0
4683400	0	0	0
4683500	0	0	0
4683600	0	0	0
4683700	0	0	0
4683800	0	0	0
4683900	0	0	0
4684000	0	0	0
4684100	0	0	0
4684200	0	0	0
4684300	0	0	0
4684400	0	0	0
4684500	0	0	0
4684600	0	0	0
4684700	0	0	0
4684800	0	0	0
4684900	0	0	0
4685000	0	0	0
4685100	0	0	0
4685200	0	0	0
4685300	0	0	0
4685400	0	0	0
4685500	0	0	0
4685600	0	0	0
4685700	0	0	0
4685800	0	0	0
4685900	0	0	0
4686000	0	0	0
4686100	0.52	0.53	144.57
4686200	1	1	699.13
4686300	1	1	445.41
4686400	1	1	318.1
4686500	1	1	1006.41
4686600	1	1	1727.88
4686700	1	1	1723.18
4686800	1	1	1963.75
4686900	1	1	2049.4
4687000	1	1	1802.56
4687100	1	1	1605.4
4687200	1	1	1176.91
4687300	1	1	1075.35
4687400	1	1	905.09
4687500	1	1	368.87
4687600	1	1	134.19
4687700	1	1	423.33
4687800	1	1	623.71
4687900	1	1	674.57
4688000	1	1	613.6
4688100	1	1	237.09
4688200	1	1	91.36
4688300	1	1	278.23
4688400	1	1	611.44
4688500	1	1	647.17
4688600	1	1	563.73
4688700	1	1	526.78
4688800	1	1	296.57
4688900	1	1	225.78
4689000	1	1	321.38
4689100	1	1	407.67
4689200	1	1	392.36
4689300	1	1	362.19
4689400	1	1	252.74
4689500	1	1	291.74
4689600	1	1	389.1
4689700	1	1	385.14
4689800	1	1	340.24
4689900	1	1	375.43
4690000	1	1	329.5
4690100	1	1	290.73
4690200	1	1	264.86
4690300	1	1	301.41
4690400	1	1	291.37
4690500	1	1	274.97
4690600	1	1	145.11
4690700	0.89	1	60.59
4690800	0	1	16.57
4690900	0	0.99	12.28
4691000	0.65	1	48.2
4691100	1	1	195.71
4691200	1	1	263.12
4691300	1	1	265.84
4691400	1	1	271.71
4691500	1	1	237.67
4691600	1	1	83.89
4691700	1	1	64.1
4691800	1	1	212.75
4691900	1	1	231.29
4692000	1	1	168.96
4692100	1	1	119.66
4692200	1	1	114.77
4692300	1	1	91.34
4692400	0.65	1	40.14
4692500	0	0.34	9.17
4692600	0	0.79	12.59
4692700	0.89	1	80.13
4692800	1	1	228.75
4692900	1	1	201.17
4693000	1	1	237.35
4693100	1	1	287.7
4693200	1	1	324.06
4693300	1	1	298.99
4693400	1	1	278.98
4693500	1	1	220.38
4693600	1	1	264.03
4693700	1	1	298.66
4693800	1	1	282.92
4693900	1	1	235.26
4694000	1	1	203.51
4694100	1	1	217.64
4694200	1	1	280.39
4694300	1	1	267.64
4694400	1	1	166.53
4694500	1	1	148.88
4694600	1	1	151.43
4694700	1	1	200.56
4694800	1	1	168.17
4694900	1	1	153
4695000	1	1	161.11
4695100	1	1	139.89
4695200	1	1	213.5
4695300	1	1	242.62
4695400	1	1	264.53
4695500	0.99	1	244.72
4695600	1	1	240.1
4695700	1	1	264.46
4695800	1	1	285.17
4695900	1	1	349.26
4696000	1	1	329.25
4696100	1	1	187.03
4696200	1	1	92.84
4696300	1	1	39.92
4696400	1	1	72.92
4696500	1	1	267.17
4696600	1	1	342.2
4696700	1	1	358.91
4696800	1	1	469.52
4696900	1	1	461.38
4697000	1	1	471.11
4697100	1	1	356.27
4697200	1	1	395.76
4697300	1	1	511.01
4697400	1	1	607.13
4697500	1	1	611.62
4697600	1	1	608.66
4697700	1	1	715.69
4697800	1	1	797.28
4697900	1	1	769.25
4698000	1	1	675.93
4698100	1	1	654.98
4698200	1	1	417.19
4698300	1	1	430.53
4698400	1	1	639.59
4698500	1	1	500.66
4698600	1	1	609.62
4698700	1	1	869.08
4698800	1	1	758.36
4698900	1	1	396.04
4699000	1	1	156.47
4699100	1	1	134.33
4699200	1	1	596.13
4699300	1	1	1365.87
4699400	1	1	1376.19
4699500	1	1	1151.56
4699600	1	1	1091.16
4699700	1	1	1151.1
4699800	1	1	1124.79
4699900	1	1	1011.72
4700000	1	1	811.29
4700100	1	1	307.06
4700200	1	1	101.07
4700300	1	1	281.89
4700400	1	1	643.67
4700500	1	1	726.43
4700600	1	1	590.59
4700700	1	1	634.17
4700800	1	1	584.42
4700900	1	1	403
4701000	1	1	269.78
4701100	1	1	345.83
4701200	1	1	336.7
4701300	1	1	402.24
4701400	1	1	380.48
4701500	0.9	0.9	122.97
4701600	0	0	0
4701700	0	0	0
4701800	0	0	0
4701900	0	0	0
4702000	0	0	0
4702100	0	0	0
4702200	0	0	0
4702300	0	0	0
4702400	0	0	0
4702500	0	0	0
4702600	0	0	0
4702700	0	0	0
4702800	0	0	0
4702900	0	0	0
4703000	0	0	0
4703100	0	0	0
4703200	0	0	0
4703300	0	0	0
4703400	0	0	0
4703500	0	0	0
4703600	0	0	0
4703700	0	0	0
4703800	0	0	0
4703900	0	0	0
4704000	0	0	0
4704100	0	0	0
4704200	0	0	0
4704300	0	0	0
4704400	0	0	0
4704500	0	0	0
4704600	0	0	0
4704700	0	0	0
4704800	0	0	0
4704900	0	0	0
4705000	0	0	0
4705100	0	0	0
4705200	0	0	0
4705300	0	0	0
4705400	0	0	0
